Source,Target,Effect,SE,|Effect|/SE,P_empirical,p.adjusted
D1Mit17,Tb.N,0.260593690134686,0.0454312758275762,5.73599762251248,0,0
D4Mit42,Tb.N,0.282203969181064,0.049214550383153,5.73415721537644,0,0
D9Mit259,STIFFNESS,-0.649422265162742,0.113291218763037,5.73232658500297,0,0
D9Mit259,body.weight,-0.560892816991931,0.0978565825357487,5.73178423420854,0,0
D9Mit253,peri.c,-0.656259965602496,0.114538778401742,5.72958761006408,0,0
D9Mit259,Femur.Length,-0.592062626065751,0.103353236378701,5.72853494298281,0,0
D8MIT75,BV.TV,0.458732573237025,0.0801057539914337,5.72658704749326,0,0
D9Mit151,Final.IGF.1,-0.285542078420473,0.0498658533762345,5.72620458866065,0,0
D9Mit259,pctFat,-0.41387020867453,0.0723079687052136,5.72371504946851,0,0
D17MIT175,BMD.g.cm2,-0.598340404254009,0.104599147262007,5.72031818534087,0,0
D1Mit17,C.Th,0.590673561297004,0.103442004674026,5.71019058610065,0,0
D1Mit236,BV.TV,0.607627175970198,0.106462922630377,5.70740649380615,0,0
D15MIT143,BMD.g.cm2,0.577164591131035,0.101410823197235,5.69135101101095,0,0
D13Mit16,BV.TV,0.636359823846859,0.112084341227086,5.67750871245768,0,0
D4Mit111,BV.TV,0.646806442256762,0.114282389479305,5.65972102266808,0,0
D9Mit1006,BV.CORTICAL,-0.655495388279728,0.116158967036969,5.64308899261398,0,0
D4Mit42,D4Mit111,-0.793638422307936,0.140678562249995,5.64150222759305,0,0
D8Mit124,TV,-0.610637334820907,0.108247581258469,5.64111759100515,0,0
D4Mit170,peri.c,0.648861753514495,0.115097157493428,5.6375132770029,0,0
D17Mit76,Femur.Length,-0.580173537133101,0.10294618866739,5.63569710198394,0,0
D9Mit151,C.Th,-0.582998178008711,0.103559598595611,5.62959094004658,0,0
D10Mit77,Tb.N,-0.281587104539332,0.0500483823758701,5.6262978176712,0,0
D10Mit77,C.Th,-0.559643888927467,0.0995452517641787,5.62200485718048,0,0
D9Mit151,Tb.N,-0.292228437157759,0.0520588314241837,5.61342675513851,0,0
D9Mit151,BMD.g.cm2,-0.584344532458461,0.104118625552981,5.61229587266416,0,0
D8Mit124,peri.c,-0.577994170556261,0.103075344552985,5.60749200560904,0,0
D1Mit14,BV.CORTICAL,0.616405923656869,0.109994154566443,5.60398801269501,0,0
D11Mit188,BV.TV.TRABECULAR,0.351911490913709,0.062866647148489,5.5977454958351,0,0
D8Mit292,endo.c,-0.672492300360592,0.120146286027697,5.59727913857914,0,0
D15Mit67,TV,0.6611300181157,0.11828281935182,5.58940023359808,0,0
D15Mit67,peri.c,0.628769564046733,0.112617384759039,5.58323712979195,0,0
D10Mit77,BV.TV,-0.620074114042806,0.111115362467954,5.58045350589249,0,0
D10Mit77,Final.IGF.1,-0.26708706844558,0.0478839681397464,5.57779730506258,0,0
D9Mit151,BV.CORTICAL,-0.617855414853541,0.110821250873471,5.5752431053045,0,0
D4Mit111,pctFat,0.387405802275245,0.0696319130516567,5.56362428227192,0,0
D17Mit39,D8Mit200,-0.93204044953828,0.167594104229673,5.56129616744154,0,0
D11Mit213,Final.IGF.1,0.202298753552193,0.0364061656993837,5.55671682710651,0,0
D17Mit76,pctFat,-0.399902585482171,0.0720350460989697,5.55150037570242,0,0
D9Mit1006,BMD.g.cm2,-0.605836504146418,0.109140428170603,5.55098155927519,0,0
D4Mit42,BMD.g.cm2,0.553539703922814,0.0998367449503825,5.54444863159266,0,0
D9Mit253,STIFFNESS,-0.602353369612751,0.10878078495152,5.53731405671691,0,0
D1Mit386,BV.TV.TRABECULAR,0.333516027111665,0.0602621679452458,5.53441800193277,0,0
D1Mit17,Final.IGF.1,0.275582288578822,0.049831246182844,5.5303109933803,0,0
D1Mit7,cort.thick,0.515951368778416,0.0934093550368898,5.5235513463791,0,0
D4Mit111,Femur.Length,0.549281897247006,0.0995411185114771,5.5181406986468,0,0
D8Mit124,endo.c,-0.584517486919183,0.105997868328261,5.51442681006575,0,0
D9Mit253,body.weight,-0.518050673521326,0.0939661777946976,5.51316107220187,0,0
D10Mit77,cort.thick,-0.559432247784602,0.101484803965917,5.51247305924226,0,0
D4Mit170,TV,0.666242395806579,0.120933781346162,5.50915044903393,0,0
D1Mit7,endo.c,-0.615300574722034,0.111836826934504,5.50177067418388,0,0
D9Mit253,endo.c,-0.644722054980196,0.117514608496501,5.48631411216752,0,0
D4Mit42,BV.CORTICAL,0.582896730730071,0.106284243768153,5.48431931266873,0,0
D15Mit67,STIFFNESS,0.5853118906772,0.106840544056756,5.478368683393,0,0
D9Mit253,Femur.Length,-0.542985800843681,0.0992535896125567,5.47069182044966,0,0
