Source,Target,Effect,SE,|Effect|/SE,P_empirical,p.adjusted
D17Mit20,body.weight,-0.792937208817948,0.12520284212439,6.33322051930867,0,< 0.00323
D11Mit213,endo.c,-0.776984926496244,0.122974536785823,6.3182586151918,0,< 0.00323
D15MIT143,TV,0.583064577738306,0.0922980149365471,6.31719520879349,0,< 0.00323
D11Mit188,BV.TV,0.698164641935882,0.11053107306954,6.31645583949624,0,< 0.00323
D18Mit147,BV.CORTICAL,0.67501529679911,0.107333711670217,6.28894022479251,0,< 0.00323
D13Mit88,pQCT.fem.dens,0.684552797195747,0.109165922983524,6.27075536474021,0,< 0.00323
D1Mit7,cort.thick,0.646150190798223,0.103074715486195,6.26875551147909,0,< 0.00323
D4Mit170,TV,0.758596929775493,0.121184490114048,6.25985164488926,0,< 0.00323
D1Mit17,pQCT.fem.dens,0.644945969974203,0.103052138122443,6.25844336395911,0,< 0.00323
D13Mit16,C.Th,0.73288108528745,0.117105642784919,6.2582901033513,0,< 0.00323
D1Mit7,endo.c,-0.73237431479064,0.117050652785137,6.25690072942197,0,< 0.00323
D9Mit151,Tb.Th,-0.564534956832816,0.0902648508065188,6.25420583747363,0,< 0.00323
D17Mit76,peri.c,-0.754890210118159,0.120862814251765,6.2458433951875,0,< 0.00323
D17MIT175,Tb.Th,-0.526028531503446,0.0842995401328904,6.23999289526623,0,< 0.00323
sex,TV,0.519826332943049,0.083452640354675,6.22899803689589,0,< 0.00323
D17Mit39,Femur.Length,-0.662995171111839,0.106472417629462,6.22691947710953,0,< 0.00323
D18Mit9,D2MIT206,-0.999061669399737,0.160687299403349,6.21742771898819,0,< 0.00323
sex,ROI.L2.4.BMD,-0.526138819309634,0.0848878962264373,6.19804286239073,0,< 0.00323
D1Mit7,pQCT.fem.dens,0.652714812209436,0.105444676446393,6.19011631697945,0,< 0.00323
D17Mit164,STIFFNESS,-0.682461472645941,0.110737609898776,6.16286980791596,0,< 0.00323
D15MIT143,peri.c,0.549732567841902,0.0892995034169041,6.15605402949911,0,< 0.00323
D17Mit164,TV,-0.722595548931983,0.117479104296773,6.15084319256112,0,< 0.00323
D11MIT30,endo.c,-0.743463134170327,0.120934439743351,6.14765434683547,0,< 0.00323
D9Mit1006,STIFFNESS,-0.685420046325288,0.111940036098071,6.12310010088607,0,< 0.00323
D4Mit170,Femur.Length,0.619656355272438,0.101272669505009,6.11869281516066,0,< 0.00323
D9Mit1006,peri.c,-0.6988862362919,0.114327052117705,6.11304344287969,0,< 0.00323
D9Mit90,peri.c,-0.697665960221749,0.114157633024498,6.11142629483243,0,< 0.00323
D17MIT175,Femur.Length,-0.58949457354355,0.0965059882409459,6.10837300657201,0,< 0.00323
D13Mit16,endo.c,-0.744283795076924,0.122125799622642,6.0944026354521,0,< 0.00323
D13Mit16,pQCT.fem.dens,0.700029463701558,0.115970610594561,6.03626608597323,0,< 0.00323
D8Mit200,endo.c,-0.774048204061954,0.128328588752054,6.03176744628203,0,< 0.00323
D17Mit39,body.weight,-0.777772315768413,0.129162928659462,6.02163735245593,0,< 0.00323
D9Mit12,BV.TV.TRABECULAR,-0.749186952829334,0.124576796895907,6.01385628380967,0,< 0.00323
D17Mit20,Femur.Length,-0.635229651207714,0.105699852434741,6.00974965031202,0,< 0.00323
D15MIT143,Femur.Length,0.463734491031872,0.0773724533422939,5.993534791773,0,< 0.00323
D17MIT175,BV.TV.TRABECULAR,-0.762383686158722,0.127214705882082,5.99288958672271,0,< 0.00323
D11Mit213,C.Th,0.703194753695804,0.11739536365453,5.98997040262305,0,< 0.00323
D9Mit1006,BMD.g.cm2,-0.662465252101029,0.11059816519426,5.98983944206886,0,< 0.00323
D9Mit259,peri.c,-0.706802341419376,0.118255644343808,5.97690152839105,0,< 0.00323
D18Mit9,C.Th,0.605318735783406,0.101482433900342,5.96476367898157,0,< 0.00323
D11MIT30,Tb.Th,0.392064992001021,0.0657367003580596,5.96417206622012,0,< 0.00323
D17Mit39,STIFFNESS,-0.699416647585328,0.11747992405944,5.95349931645729,0,< 0.00323
D4Mit111,STIFFNESS,0.673281652824033,0.113323551046967,5.94123327943535,0,< 0.00323
D4Mit170,pQCT.fem.dens,0.693238638582788,0.1167109917289,5.93978877493445,0,< 0.00323
D1Mit14,BMD.g.cm2,0.639517339797168,0.107890413325539,5.92747140441054,0,< 0.00323
D17Mit76,pQCT.fem.dens,0.602994115139682,0.102147141615692,5.90319127487995,0,< 0.00323
D4Mit111,Femur.Length,0.592946224298421,0.100579331920741,5.89530883706484,0,< 0.00323
sex,BV.TV,-0.454649977619215,0.0772030029491784,5.88901934188369,0,< 0.00323
D9Mit90,TV,-0.694918364074914,0.118034069333467,5.88743883862588,0,< 0.00323
D15MIT143,STIFFNESS,0.667066758286508,0.113314439878991,5.88686454258496,0,< 0.00323
D17Mit20,STIFFNESS,-0.625150360716797,0.106222440365215,5.88529465682956,0,< 0.00323
D9Mit1001,endo.c,-0.744611767522672,0.126578959424081,5.8825872080997,0,< 0.00323
D17MIT175,body.weight,-0.747925075961904,0.127145567454193,5.88243138111251,0,< 0.00323
D9Mit259,STIFFNESS,-0.69547327039234,0.118333964132135,5.87720757512825,0,< 0.00323
D9Mit253,endo.c,-0.719996717213389,0.122750837992097,5.86551366158286,0,< 0.00323
D14MIT60,pctFat,-0.639634353911964,0.10925219349077,5.85465914664682,0,< 0.00323
